Commodity,Country,Procurement Price,Port,SeaTransport Price,Warehouse,Port to Warehouse Price,Camp,Warehouse to Camp Price,Port Handling Cost,Warehouse Handling Cost,Total Cost
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<NAZARETH>,102.125,BAMBASI,59.24509311,16,11.71432,1352.596296
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<NAZARETH>,102.125,SHERKOLE,63.08505284,16,11.71432,1356.436256
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<NAZARETH>,102.125,PUGNIDO,77.09486663,16,11.71432,1370.44607
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<NAZARETH>,102.125,JEWII,96.28183191,16,11.71432,1389.633035
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<NAZARETH>,102.125,KULE,80.75188727,16,11.71432,1374.10309
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<NAZARETH>,102.125,TERKIEDI,91.10266734,16,11.71432,1384.45387
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<NAZARETH>,102.125,OKUGO,75.56316054,16,11.71432,1368.914364
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<NAZARETH>,102.125,AYSAITA,17.59436336,16,11.71432,1310.945566
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<NAZARETH>,102.125,DILLO,69.656769,16,11.71432,1363.007972
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<NAZARETH>,102.125,MEGADO,85.92954202,16,11.71432,1379.280745
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<KOMBOLCHA>,172.718,Afar,43.5024,16,12.35144,1408.083723
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<KOMBOLCHA>,172.718,Amhara,60.5268,16,12.35144,1425.108123
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<KOMBOLCHA>,172.718,Tigray,17.5608,16,12.35144,1382.142123
RICE,AUSTRALIA,931.511883,PORT SUDAN (SUDAN),256,<NAZARETH>,116.05321,Afar,88.4616,23.5,11.71432,1427.241013
RICE,AUSTRALIA,931.511883,PORT SUDAN (SUDAN),256,<NAZARETH>,116.05321,Amhara,50.713,23.5,11.71432,1389.492413
RICE,AUSTRALIA,931.511883,PORT SUDAN (SUDAN),256,<NAZARETH>,116.05321,Benshangul,58.3692,23.5,11.71432,1397.148613
RICE,AUSTRALIA,931.511883,PORT SUDAN (SUDAN),256,<NAZARETH>,116.05321,Gambella,46.77985,23.5,11.71432,1385.559263
RICE,AUSTRALIA,931.511883,PORT SUDAN (SUDAN),256,<NAZARETH>,116.05321,Oromiya,63.8685,23.5,11.71432,1402.647913
